Fiscal Quarters,1Q FY2018,2Q FY2018,3Q FY2018,4Q FY2018,1Q FY2019,2Q FY2019,3Q FY2019,4Q FY2019,1Q FY2020,2Q FY2020,3Q FY2020,4Q FY2020,1Q FY2021,2Q FY2021,3Q FY2021,4Q FY2021,1Q FY2022,2Q FY2022,3Q FY2022,4Q FY2022,1Q FY2023,2Q FY2023,3Q FY2023
Normalized Price,319.765,414.504,359.676,366.404,372.36,376.728,296.191,348.894,446.902,544.401,541.662,516.45,565.915,545.6,657.216,522.06,356.764,205.492,245.16,320.17,338.896,485.14,351.555
Price / Earnings - P/E (LTM),206.3,181.8,123.6,131.8,128.4,142.7,91.7,81.9,87.8,89.1,84.9,82.5,66.5,55.0,57.6,45.2,31.6,17.9,21.6,31.7,35.9,50.8,34.5
Net EPS - Basic,1.55,2.28,2.91,2.78,2.9,2.64,3.23,4.26,5.09,6.11,6.38,6.26,8.51,9.92,11.41,11.55,11.29,11.48,11.35,10.1,9.44,9.55,10.19
Return On Equity %,0.1918,0.2601,0.3029,0.2746,0.2602,0.2172,0.2382,0.2912,0.3163,0.3473,0.3264,0.2962,0.3531,0.3786,0.3939,0.3802,0.3291,0.3093,0.2815,0.2453,0.2133,0.2026,0.2123
Total Revenues / CAGR 5Y,0.2765,0.2861,0.2915,0.2927,0.2917,0.2923,0.2944,0.2964,0.2981,0.2993,0.299,0.2982,0.298,0.2933,0.2849,0.2745,0.2617,0.2495,0.2366,0.2201,0.2013,0.1828,0.1706
Net Income / CAGR 5Y,0.9398,0.8337,0.774,0.6088,0.5069,0.4131,0.4356,0.4757,0.5655,0.6932,0.7672,0.8642,0.9703,0.9892,0.9869,0.939,0.7152,0.6969,0.6287,0.5171,0.4432,0.3382,0.2908
Normalized Net Income / CAGR 5Y,0.5459,0.5786,0.553,0.4427,0.3863,0.335,0.4,0.4263,0.5242,0.6825,0.7634,0.8648,0.9868,1.0053,0.9789,0.8626,0.6707,0.702,0.6703,0.6109,0.5331,0.3758,0.327
Dividend Yield (LTM),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Market Capitalization,133560.7,174085.7,150842.5,154020.9,156939.7,158466.0,125343.4,148177.1,190790.0,231948.3,231718.3,221679.5,243401.9,235469.0,282818.8,225130.5,154770.0,89578.9,107111.8,140528.6,148612.2,212308.4,154174.6
Beta,,,,,,,,,,,,,,,,,,,,,,,1.283
Industry Beta Average,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34
Industry PE Average,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25
Label,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart
