Fiscal Quarters,2Q FY2018,3Q FY2018,4Q FY2018,1Q FY2019,2Q FY2019,3Q FY2019,4Q FY2019,1Q FY2020,2Q FY2020,3Q FY2020,4Q FY2020,1Q FY2021,2Q FY2021,3Q FY2021,4Q FY2021,1Q FY2022,2Q FY2022,3Q FY2022,4Q FY2022,1Q FY2023,2Q FY2023,3Q FY2023,4Q FY2023
Normalized Price,266.0,218.01,234.64,276.651,317.625,313.968,343.239,230.956,324.675,368.838,428.976,462.848,487.728,516.475,610.73,604.23,573.3,509.012,548.8,616.869,812.136,944.136,950.04
Price / Earnings - P/E (LTM),10.0,7.8,8.0,17.7,37.5,42.2,50.7,36.2,55.5,66.1,64.8,51.2,43.2,36.5,38.9,33,27.3,21.2,20.0,20.1,24.7,28.2,28.0
Net EPS - Basic,26.6,27.95,29.33,15.63,8.47,7.44,6.77,6.38,5.85,5.58,6.62,9.04,11.29,14.15,15.7,18.31,21,24.01,27.44,30.69,32.88,33.48,33.93
Return On Equity %,0.4184,0.4813,0.5068,0.2497,0.1285,0.1227,0.106,0.1107,0.1088,0.1102,0.1212,0.1636,0.2038,0.2532,0.2756,0.3332,0.3971,0.4473,0.482,0.5527,0.6367,0.6476,0.6031
Total Revenues / CAGR 5Y,0.5276,0.5319,0.5259,0.5169,0.5086,0.4548,0.3955,0.3426,0.3024,0.2868,0.2848,0.2881,0.2352,0.1936,0.157,0.128,0.1303,0.1335,0.1349,0.1282,0.1227,0.1186,0.1143
Net Income / CAGR 5Y,0.8246,0.8499,0.8591,0.6323,0.4179,0.584,0.5961,0.4061,0.3039,0.1834,0.1676,0.2325,,,,,,0.8053,0.467,0.1074,0.0454,0.0357,0.0281
Normalized Net Income / CAGR 5Y,0.3904,0.4583,0.4952,0.5075,0.4614,0.5628,0.2972,0.1945,0.1076,0.0394,0.0888,0.145,0.2695,0.3662,0.3558,0.3827,0.371,0.3675,0.4256,0.4486,0.3811,0.3304,0.2814
Dividend Yield (LTM),0.0212,0.0289,0.0319,0.0304,0.0316,0.0326,0.0326,0.0519,0.0394,0.0367,0.0334,0.0315,0.031,0.03,0.0259,0.0271,0.0295,0.0343,0.0327,0.0288,0.0223,0.0198,0.0201
Market Capitalization,108647.7,90312.0,93951.6,106235.1,111474.1,119653.0,130028.7,87393.5,123491.5,141605.4,165861.7,181085.1,189778.9,201807.2,240145.2,237001.9,224824.1,198682.3,215091.5,249591.4,329348.8,380863.2,380649.4
Beta,,,,,,,,,,,,,,,,,,,,,,,1.241
Industry Beta Average,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34
Industry PE Average,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25
Label,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart,Stalwart
